Timestamp,Gender,Age? (Years),Where do you live? (District),What is your highest educational level? ,What is your occupation? ,Monthly income (in thousands) ,What type of bank account do you have?,What is the type of bank you use for  mobile banking application,How long have you been using the mobile banking application?,What are the purposes that you use the mobile banking app? (Select one or many),How did you get to know about mobile banking? ,Do you think a mobile banking app would help you for day to day life?,Do you think mobile banking is safe?,What do you think about the bill payment service offered by mobile banking?,What do you think about the Money transfer facility offered by the Mobile Banking system at any bank? ,Can you satisfy with the service charges related to mobile banking application? ,"According to your knowledge, which banks offer better mobile banking applications?",Would you like to recommend mobile banking to others?
11/2/2020 23:11,Male,19 -30,Kurunegala,Postgraduate,Private Sector,"101,000 - 150,000",Both,Private,Between 5 months to one year,To pay bills,From Bank,Strongly useful,Yes,Average,Good,yes,Private Banks,Yes
11/2/2020 23:33,Male,31 - 40,Anuradhapura,Graduate,Private Sector,"101,000 - 150,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,Neutral,Private Banks,Yes
11/2/2020 23:37,Male,19 -30,Kurunegala,Degree,Student,Not applicable,Savings account,Private,More than one year,"To pay bills, To buy goods or services, To get account balance update, other",From Internet,Useful,Yes,Average,Good,Neutral,Private Banks,Yes
11/2/2020 23:38,Male,19 -30,Colombo,Degree,Private Sector,"101,000 - 150,000",Savings account,Both,Between 5 months to one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From Internet,Strongly useful,Yes,Average,Good,yes,Private Banks,Yes
11/2/2020 23:38,Male,19 -30,Colombo,Graduate,Private Sector,"51,000 - 100,000",Savings account,Private,Between 5 months to one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From Bank,Strongly useful,Yes,Good,Good,No,Private Banks,Yes
11/2/2020 23:40,Male,19 -30,Nuwara Eliya,Graduate,Private Sector,"101,000 - 150,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Average,Average,Neutral,Private Banks,Yes
11/3/2020 0:01,Female,19 -30,Gampaha,Degree,Student,Not applicable,Savings account,Government,Between 5 months to one year,"To Transfer money, To get account balance update",From Internet,Useful,Neutral,Good,Average,Neutral,Private Banks,Yes
11/3/2020 0:04,Female,19 -30,Gampaha,Postgraduate,Public Sector,"51,000 - 100,000",Both,Government,Between 5 months to one year,"To Transfer money, To pay bills, To get account balance update, other",From Bank,Strongly useful,Neutral,Good,Good,Neutral,Government Banks,Yes
11/3/2020 0:04,Male,19 -30,Colombo,Degree,Private Sector,"26,000 - 50,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Neutral,Good,Good,yes,Government Banks,Yes
11/3/2020 0:26,Male,19 -30,Kurunegala,A/L,Other,"Less than or equal  25,000",Savings account,Private,Less than 5 months,other,Other,Neutral,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 1:07,Female,19 -30,Kurunegala,Graduate,Public Sector,"51,000 - 100,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From a Friend,Strongly useful,Yes,Good,Good,No,Private Banks,Yes
11/3/2020 1:15,Male,19 -30,Kalutara,Degree,Public Sector,"51,000 - 100,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Internet,Useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 4:01,Female,19 -30,Kurunegala,A/L,Other,Not applicable,Savings account,Private,Between 5 months to one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Internet,Strongly useful,Yes,Average,Good,No,Private Banks,Yes
11/3/2020 5:26,Female,19 -30,Kandy,Degree,Private Sector,"26,000 - 50,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From a Friend,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 5:34,Male,19 -30,Colombo,Graduate,Private Sector,"101,000 - 150,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From Internet,Strongly useful,Yes,Good,Good,No,Private Banks,Yes
11/3/2020 5:43,Female,Less than or equal 18,Colombo,Postgraduate,Private Sector,"26,000 - 50,000",Savings account,Both,Less than 5 months,"To Transfer money, To pay bills",From Internet,Useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 5:49,Male,19 -30,Colombo,A/L,Housewife,"26,000 - 50,000",Current account,Private,More than one year,other,From Internet,Strongly useful,Yes,Good,Good,No,Private Banks,Yes
11/3/2020 6:05,Female,19 -30,Kandy,Degree,Student,Not applicable,Both,Both,More than one year,To pay bills,Other,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 6:15,Male,19 -30,Kurunegala,Degree,Private Sector,"51,000 - 100,000",Savings account,Government,Less than 5 months,"To Transfer money, To pay bills, To get account balance update",From Internet,Strongly useful,Yes,Good,Average,yes,No idea,Yes
11/3/2020 6:19,Male,19 -30,Kurunegala,A/L,Public Sector,"Less than or equal  25,000",Savings account,Government,More than one year,To get account balance update,From Internet,Not useful,Neutral,Poor,Poor,Neutral,No idea,No
11/3/2020 6:27,Female,19 -30,Gampaha,Graduate,Public Sector,"26,000 - 50,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To buy goods or services",From Bank,Strongly useful,Yes,Good,Average,No,Government Banks,Yes
11/3/2020 6:36,Male,19 -30,Kurunegala,Diploma,Private Sector,"26,000 - 50,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To get account balance update",From Internet,Strongly useful,Yes,Good,Good,yes,Government Banks,Yes
11/3/2020 6:38,Male,19 -30,Kurunegala,Graduate,Private Sector,"26,000 - 50,000",Savings account,Private,More than one year,"To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,yes,No idea,Yes
